x ,	 y, 	 r 
99 , 306 , 4228250625.0
100 , 306 , 5877268368.75
101 , 306 , 2706080400.0
102 , 306 , 1099345162.5
239 , 306 , 1099345162.5
240 , 306 , 2706080400.0
241 , 306 , 5877268368.75
242 , 306 , 4228250625.0
243 , 306 , 2494667868.75
244 , 306 , 1057062656.25
97 , 307 , 623666967.1875
98 , 307 , 1057062656.25
99 , 307 , 1469317092.1875
100 , 307 , 1860430275.0
101 , 307 , 803367618.75
240 , 307 , 803367618.75
241 , 307 , 1860430275.0
242 , 307 , 1469317092.1875
243 , 307 , 1057062656.25
244 , 307 , 623666967.1875
273 , 324 , 1099345162.5
274 , 324 , 3498877392.1875
275 , 324 , 5877268368.75
276 , 324 , 4164826865.625
277 , 324 , 5285313281.25
346 , 324 , 5285313281.25
347 , 324 , 4164826865.625
348 , 324 , 5877268368.75
349 , 324 , 3498877392.1875
350 , 324 , 1099345162.5
272 , 325 , 803367618.75
273 , 325 , 2706080400.0
274 , 325 , 5084471376.5625
275 , 325 , 7441721100.0
276 , 325 , 4492516289.0625
277 , 325 , 4164826865.625
346 , 325 , 4164826865.625
347 , 325 , 4492516289.0625
348 , 325 , 7441721100.0
349 , 325 , 5084471376.5625
350 , 325 , 2706080400.0
351 , 325 , 803367618.75
272 , 326 , 1860430275.0
273 , 326 , 5877268368.75
274 , 326 , 9555846412.5
275 , 326 , 13149859443.75
276 , 326 , 7441721100.0
277 , 326 , 5877268368.75
346 , 326 , 5877268368.75
347 , 326 , 7441721100.0
348 , 326 , 13149859443.75
349 , 326 , 9555846412.5
350 , 326 , 5877268368.75
351 , 326 , 1860430275.0
272 , 327 , 1469317092.1875
273 , 327 , 4228250625.0
274 , 327 , 6934331025.0
275 , 327 , 9555846412.5
276 , 327 , 5084471376.5625
277 , 327 , 3498877392.1875
346 , 327 , 3498877392.1875
347 , 327 , 5084471376.5625
348 , 327 , 9555846412.5
349 , 327 , 6934331025.0
350 , 327 , 4228250625.0
351 , 327 , 1469317092.1875
272 , 328 , 1057062656.25
273 , 328 , 2494667868.75
274 , 328 , 4228250625.0
275 , 328 , 5877268368.75
276 , 328 , 2706080400.0
277 , 328 , 1099345162.5
346 , 328 , 1099345162.5
347 , 328 , 2706080400.0
348 , 328 , 5877268368.75
349 , 328 , 4228250625.0
350 , 328 , 2494667868.75
351 , 328 , 1057062656.25
272 , 329 , 623666967.1875
273 , 329 , 1057062656.25
274 , 329 , 1469317092.1875
275 , 329 , 1860430275.0
276 , 329 , 803367618.75
347 , 329 , 803367618.75
348 , 329 , 1860430275.0
349 , 329 , 1469317092.1875
350 , 329 , 1057062656.25
351 , 329 , 623666967.1875
